Text#,Title,Authors
19709,Danger in Deep Space,"Rockwell, Carey; Ley, Willy, 1906-1969 [Contributor]; Glanzman, Louis [Illustrator]"
19726,The Door Through Space,"Bradley, Marion Zimmer, 1930-1999"
19731,"Under the Ocean to the South Pole; Or, the Strange Cruise of the Submarine Wonder","Rockwood, Roy"
19963,Stop Look and Dig,"Smith, George O. (George Oliver), 1911-1981"
19964,Regeneration,"Dye, Charles, 1925-1960"
20121,Lone Star Planet,"McGuire, John J. (John Joseph), 1917-1981; Piper, H. Beam, 1904-1964"
20132,"The Wizard of the Sea; Or, A Trip Under the Ocean","Rockwood, Roy"
20147,Rip Foster Rides the Gray Planet,"Goodwin, Harold L. (Harold Leland), 1914-1990"
20154,Invaders from the Infinite,"Campbell, John W., Jr. (John Wood), 1910-1971"
20212,Police Your Planet,"Del Rey, Lester, 1915-1993"
20519,Highways in Hiding,"Smith, George O. (George Oliver), 1911-1981"
20551,The White Invaders,"Cummings, Ray, 1887-1957"
20553,Out Around Rigel,"Wilson, Robert H., 1909-1998"
20649,Oomphel in the Sky,"Piper, H. Beam, 1904-1964"
20659,Ministry of Disturbance,"Piper, H. Beam, 1904-1964; Van Dongen, H. R., 1920-2010 [Illustrator]"
20707,The Black Star Passes,"Campbell, John W., Jr. (John Wood), 1910-1971; Podwil, Jerome, 1938- [Illustrator]"
20726,A Slave is a Slave,"Piper, H. Beam, 1904-1964"
20727,The Cosmic Computer,"Piper, H. Beam, 1904-1964"
20728,Space Viking,"Piper, H. Beam, 1904-1964; Schoenherr, John, 1935-2010 [Illustrator]"
20739,Rebels of the Red Planet,"Fontenay, Charles L., 1917-2007"
20782,Triplanetary,"Smith, E. E. (Edward Elmer), 1890-1965"
20788,Storm Over Warlock,"Norton, Andre, 1912-2005"
20796,The Colors of Space,"Bradley, Marion Zimmer, 1930-1999"
20802,Ĉe la koro de la tero,"Burroughs, Edgar Rice, 1875-1950; Mickle, Gary [Translator]"
20838,The Infra-Medians,"Wright, Sewell Peaslee, 1897-1970"
20856,Ten From Infinity,"Fairman, Paul W., 1909-1977"
20857,Spacehounds of IPC,"Smith, E. E. (Edward Elmer), 1890-1965"
20859,Wandl the Invader,"Cummings, Ray, 1887-1957"
20869,The Skylark of Space,"Garby, Lee Hawkins, 1892-1953; Smith, E. E. (Edward Elmer), 1890-1965"
20898,The Galaxy Primes,"Smith, E. E. (Edward Elmer), 1890-1965"
20919,The Status Civilization,"Sheckley, Robert, 1928-2005"
20920,Morale: A Story of the War of 1941-43,"Leinster, Murray, 1896-1975"
20988,Islands of Space,"Campbell, John W., Jr. (John Wood), 1910-1971"
21051,Skylark Three,"Smith, E. E. (Edward Elmer), 1890-1965; Wessolowski, Hans Waldemar, 1894?-1948 [Illustrator]"
21092,On the Trail of the Space Pirates,"Rockwell, Carey; Ley, Willy, 1906-1969 [Contributor]; Glanzman, Louis [Illustrator]"
21094,The Girl in the Golden Atom,"Cummings, Ray, 1887-1957"
21279,2 B R 0 2 B,"Vonnegut, Kurt, 1922-2007"
21510,Legacy,"Schmitz, James H., 1911-1981"
21541,"Quiet, Please","Scott, Kevin"
21568,Sweet Their Blood and Sticky,"Teichner, Albert"
21582,The Mightiest Man,"Fahy, Patrick"
21627,Gambler's World,"Laumer, Keith, 1925-1993"
21638,Tarrano the Conqueror,"Cummings, Ray, 1887-1957"
21647,Subspace Survivors,"Smith, E. E. (Edward Elmer), 1890-1965; Van Dongen, H. R., 1920-2010 [Illustrator]"
21670,Edison's Conquest of Mars,"Serviss, Garrett Putman, 1851-1929"
21782,The Yillian Way,"Laumer, Keith, 1925-1993"
21873,Planet of the Damned,"Harrison, Harry, 1925-2012"
21897,An Incident on Route 12,"Schmitz, James H., 1911-1981"
21988,Breaking Point,"Gunn, James E., 1923-2020"
22073,The Repairman,"Harrison, Harry, 1925-2012"
22102,The Hills of Home,"Coppel, Alfred, 1921-2004"
22110,Martian V.F.W.,"Vandenburg, G. L."
